Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2025/5/13,2025,5,13,,22.8,,13.9,,18.3,,0,,0.3,,,,,,7,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/14,2025,5,14,,20.2,,13.6,,16.9,,1.1,,0,,,,,,1.4,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/15,2025,5,15,,23.1,,14,,18.6,,0,,0.6,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/16,2025,5,16,,27.8,,14.7,,21.2,,0,,3.2,,,,,,9.7,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/17,2025,5,17,,20.4,,13.6,,17,,1,,0,,,,,,1.5,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/18,2025,5,18,,17.1,,10.5,,13.8,,4.2,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/19,2025,5,19,,15.6,,7.3,,11.4,,6.6,,0,,,,,,0.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/20,2025,5,20,,13.8,,5.4,,9.6,,8.4,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/21,2025,5,21,,10.5,,7.2,,8.9,,9.1,,0,,,,,,24.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/22,2025,5,22,,9.2,,6.9,,8.1,,9.9,,0,,,,,,27,,,,,M,,M
