Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2023/3/30,2023,3,30,,3.4,,-4.2,,-0.4,,18.4,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/31,2023,3,31,,4.8,,1.2,,3,,15,,0,,,,,,10,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/1,2023,4,1,,16.1,,-1.3,,7.4,,10.6,,0,,,,,,16.9,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/2,2023,4,2,,2.9,,-3.7,,-0.4,,18.4,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/3,2023,4,3,,14.1,,2.3,,8.2,,9.8,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/4,2023,4,4,,10.3,,5.6,,7.9,,10.1,,0,,,,,,1.5,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/5,2023,4,5,,12.1,,3.1,,7.6,,10.4,,0,,,,,,26,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/6,2023,4,6,,12.9,,5.8,,9.3,,8.7,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/7,2023,4,7,,7.7,,-0.6,,3.5,,14.5,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/8,2023,4,8,,6.1,,-1.6,,2.3,,15.7,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/9,2023,4,9,,10.1,,1.6,,5.8,,12.2,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/10,2023,4,10,,17.8,,3.9,,10.9,,7.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/11,2023,4,11,,24.4,,8.2,,16.3,,1.7,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/12,2023,4,12,,27.4,,13,,20.2,,0,,2.2,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/13,2023,4,13,,26.8,,14.7,,20.8,,0,,2.8,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/14,2023,4,14,,27,,14,,20.5,,0,,2.5,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/15,2023,4,15,,23.9,,14.6,,19.2,,0,,1.2,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/16,2023,4,16,,23,,9.2,,16.1,,1.9,,0,,,,,,6,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/17,2023,4,17,,10.1,,3.7,,6.9,,11.1,,0,,,,,,0.6,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/18,2023,4,18,,6.3,,2.3,,4.3,,13.7,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/19,2023,4,19,,9.1,,1.5,,5.3,,12.7,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/20,2023,4,20,,10.2,,3.9,,7.1,,10.9,,0,,,,,,0.7,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/21,2023,4,21,,20.9,,7.2,,14.1,,3.9,,0,,,,,,2.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/22,2023,4,22,,11.8,,7.5,,9.7,,8.3,,0,,,,,,16.9,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/23,2023,4,23,,8.9,,5.7,,7.3,,10.7,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/24,2023,4,24,,8.2,,4.1,,6.1,,11.9,,0,,,,,,2.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/25,2023,4,25,,11,,3.8,,7.4,,10.6,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/26,2023,4,26,,9.1,,2.4,,5.8,,12.2,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/27,2023,4,27,,12.4,,3.7,,8.1,,9.9,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/28,2023,4,28,,11.8,,7.3,,9.6,,8.4,,0,,,,,,13.5,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/29,2023,4,29,,10.3,,6.1,,8.2,,9.8,,0,,,,,,6.8,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/4/30,2023,4,30,,11,,7.4,,9.2,,8.8,,0,,,,,,12.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/1,2023,5,1,,10.7,,6,,8.4,,9.6,,0,,,,,,1.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/2,2023,5,2,,8.2,,3.2,,5.7,,12.3,,0,,,,,,5.8,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/3,2023,5,3,,10,,3.3,,6.7,,11.3,,0,,,,,,5.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/4,2023,5,4,,13.2,,7.2,,10.2,,7.8,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/5,2023,5,5,,14.5,,8.5,,11.5,,6.5,,0,,,,,,0.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/6,2023,5,6,,18.6,,7.2,,12.9,,5.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/7,2023,5,7,,16.7,,10.5,,13.6,,4.4,,0,,,,,,11.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/8,2023,5,8,,20.2,,8.6,,14.4,,3.6,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/9,2023,5,9,,15.6,,9.6,,12.6,,5.4,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/10,2023,5,10,,19.9,,7.2,,13.6,,4.4,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/11,2023,5,11,,26.7,,11.5,,19.1,,0,,1.1,,,,,,0,,,,,M,,M
